key,originalName,tags
BTN-467B35000714-894B47479309-X-1252466,Samdrup Choling,"{'name': 'Kungarapten', 'place': 'village'}"
BTN-467B78139670-894B76866450-X-1252471,Rungzyung,"{'name': 'རང་བྱུང་', 'name:en': 'Rangjung', 'place': 'town', 'wikidata': 'Q4389859', 'wikipedia': 'en:Rangjung'}"
BTN-467B35000714-894B1706095-X-1252553,Kagha,"{'name': 'Jongthang, Nubi, Trongsa, Bhutan', 'place': 'village'}"
BTN-467B35000714-894B1706095-X-1252553,Kagha,"{'name': 'Sherubling', 'place': 'village'}"
BTN-467B28711724-894B22080857-X-1252632,Bioka,"{'name': 'Tungkudenpa', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'གསང་སྦས་ཨ་མ་', 'name:en': 'Sangbay Ama', 'name:hu': 'Szangbé ama', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'Nakhekha', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'Ama', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'Tsanglingna', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'alt_name:en': 'Tsangbe', 'name': 'གསང་སྦས་', 'name:en': 'Sangbay Gewog', 'name:hu': 'Szangbé', 'place': 'village'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'Shaba', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'Shebji', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'Nebji', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'alt_name': 'Giera', 'name': 'Gerekha', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,"{'name': 'Dorithasa', 'place': 'hamlet'}"
BTN-467B62163329-894B67331429-X-1252475,Rapley,{'place': 'hamlet'}
BTN-467B62163329-894B67331429-X-1252475,Rapley,{'place': 'hamlet'}
BTN-467B62163329-894B67331429-X-1252475,Rapley,{'place': 'hamlet'}
BTN-467B62163329-894B67331429-X-1252475,Rapley,{'place': 'hamlet'}
BTN-467B62163329-894B67331429-X-1252475,Rapley,{'place': 'hamlet'}
BTN-467B62163329-894B67331429-X-1252475,Rapley,{'place': 'hamlet'}
BTN-467B62163329-894B67331429-X-1252475,Rapley,{'place': 'village'}
BTN-467B78139670-894B95782047-X-7647496,Kanglung,{'place': 'village'}
BTN-467B78139670-894B95782047-X-7647496,Kanglung,"{'name': 'བཀང་ལུང་', 'name:en': 'Kanglung', 'place': 'town', 'wikidata': 'Q4212252'}"
